ORTIZ GONZALEZ GRACIELA,PRI ,Lista nacional
PADIERNA LUNA MARIA DE LOS DOLORES,PRD,Lista nacional
PALAFOX GUTIERREZ MARTHA,PT,Tlaxcala
PEDRAZA CHAVEZ ISIDRO,PRD,Hidalgo
PEDROZA GAITAN CESAR OCTAVIO,PAN,San Luis Potosí
PINEDA GOCHI MARIA DEL ROCIO,PRI ,Michoacan
POZOS LANZ RAUL AARON,PRI ,Campeche
PRECIADO RODRIGUEZ JORGE LUIS,PAN,Colima
PRIEGO CALVA JESUS,PRI ,Hidalgo
PUENTE SALAS CARLOS ALBERTO,PVEM,Zacatecas
RAMIREZ HERNANDEZ SOFIO,PRI ,Guerrero
RIOS DE LA MORA ITZEL SARAHI,PRI ,Colima
RIOS PITER ARMANDO,PRD,Guerrero
ROBLEDO ABURTO ZOE,PRD,Chiapas
ROBLES MONTOYA ANGEL BENJAMIN,PRD,Oaxaca
ROCHA ACOSTA SONIA,PAN,Queretaro
ROJAS HERNANDEZ LAURA ANGELICA,PAN,Lista nacional
ROLDAN BENITEZ ALEJANDRA,PRD,Tlaxcala
ROMERO DESCHAMPS CARLOS,PRI ,Lista nacional
ROMERO HICKS JUAN CARLOS,PAN,Guanajuato
ROMERO LAINAS ADOLFO,PRD,Oaxaca
ROMO MEDINA MIGUEL,PRI ,Aguascalientes
ROSAS GONZALEZ OSCAR ROMAN,PRI ,Campeche
RUFFO APPEL ERNESTO,PAN,Baja California 
SALAZAR FERNANDEZ LUIS FERNANDO,PAN,Coahuila
SALAZAR SOLORIO RABINDRANATH,PRD,Morelos
SALDANA PEREZ MARIA LUCERO,PRI ,Puebla 
SALINAS SADA NINFA,PVEM,Lista nacional
SANCHEZ GARCIA GERARDO,PRI ,Lista nacional
SANCHEZ JIMENEZ LUIS,PRD,Lista nacional
SANSORES SAN ROMAN LAYDA,PT,Lista nacional
SANTANA GARCIA JOSE DE JESUS,PAN,Aguascalientes
TAGLE MARTINEZ MARTHA ANGELICA,PRD,Distrito Federal
TOLEDO LUIS JORGE,PRI ,Oaxaca
TORRES CORZO TEOFILO,PRI ,San Luis Potosí
TORRES GRACIANO FERNANDO,PAN,Guanajuato
TORRES PEIMBERT MARIA MARCELA,PAN,Queretaro
URZUA RIVERA RICARDO,PRI ,Lista nacional
VEGA CASILLAS SALVADOR,PAN,Lista nacional
YUNES LANDA HECTOR,PRI ,Veracruz
YUNES MARQUEZ FERNANDO,PAN ,Veracruz
YUNES ZORRILLA JOSE FRANCISCO,PRI ,Veracruz
ZAMORA JIMENEZ ARTURO,PRI ,Jalisco
